,title_year,start_year,runtime_minutes,genres,averagerating,numvotes,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Thriller,Unknown,War,Western,release_date,production_budget,domestic_gross,worldwide_gross,total_gross,gross_less_budget
349,Inception (2010),2010,148.0,"Action,Adventure,Sci-Fi",8.8,1841066,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2010-07-16,160000000,292576195,835524642,1128100837,968100837
335,The Dark Knight Rises (2012),2012,164.0,"Action,Thriller",8.4,1387769,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012-07-20,275000000,448139099,1084439099,1532578198,1257578198
71,Interstellar (2014),2014,169.0,"Adventure,Drama,Sci-Fi",8.6,1299334,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014-11-05,165000000,188017894,666379375,854397269,689397269
730,Django Unchained (2012),2012,165.0,"Drama,Western",8.4,1211405,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012-12-25,100000000,162805434,449948323,612753757,512753757
82,The Avengers (2012),2012,143.0,"Action,Adventure,Sci-Fi",8.1,1183655,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012-05-04,225000000,623279547,1517935897,2141215444,1916215444
123,The Wolf of Wall Street (2013),2013,180.0,"Biography,Crime,Drama",8.2,1035358,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-12-25,100000000,116900694,389870414,506771108,406771108
175,Shutter Island (2010),2010,138.0,"Mystery,Thriller",8.1,1005960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2010-02-19,80000000,128012934,299461782,427474716,347474716
818,Guardians of the Galaxy (2014),2014,121.0,"Action,Adventure,Comedy",8.1,948394,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-08-01,170000000,333172112,770867516,1104039628,934039628
404,Deadpool (2016),2016,108.0,"Action,Adventure,Comedy",8.0,820847,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-12,58000000,363070709,801025593,1164096302,1106096302
363,The Hunger Games (2012),2012,142.0,"Action,Adventure,Sci-Fi",7.2,795227,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012-03-23,80000000,408010692,677923379,1085934071,1005934071
364,Mad Max: Fury Road (2015),2015,120.0,"Action,Adventure,Sci-Fi",8.1,780910,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015-05-15,150000000,153636354,370098020,523734374,373734374
924,Gone Girl (2014),2014,149.0,"Drama,Mystery,Thriller",8.1,761592,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2014-10-03,61000000,167767189,368567189,536334378,475334378
96,The Hobbit: An Unexpected Journey (2012),2012,169.0,"Adventure,Family,Fantasy",7.9,719629,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-14,250000000,303003568,1017003568,1320007136,1070007136
421,Gravity (2013),2013,91.0,"Drama,Sci-Fi,Thriller",7.7,710018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2013-10-04,110000000,274092705,693698673,967791378,857791378
